claim_row_id,policy_id,claim_amount,claim_count,exposure,area,vehicle_power,vehicle_age,driver_age,bonus_malus,vehicle_brand,fuel_type,density,region
37,4036118,6403.42,1.0,0.65,E,4.0,2.0,23.0,95.0,B12,Regular,5376.0,R11
38,4026763,602.0,1.0,0.45,E,5.0,2.0,54.0,50.0,B12,Regular,3214.0,R83
39,4021448,1204.0,1.0,0.87,A,6.0,2.0,65.0,50.0,B12,Regular,21.0,R94
40,4085369,212.0,1.0,0.71,A,12.0,1.0,47.0,51.0,B12,Diesel,21.0,R93
41,1013423,650.73,2.0,0.12,E,4.0,0.0,49.0,50.0,B12,Regular,4762.0,R93
42,4046864,5537.37,1.0,0.75,C,6.0,3.0,46.0,50.0,B6,Diesel,478.0,R41
43,4023587,1204.0,2.0,0.71,F,5.0,2.0,46.0,50.0,B2,Diesel,27000.0,R11
44,1013423,1128.12,2.0,0.12,E,4.0,0.0,49.0,50.0,B12,Regular,4762.0,R93
45,4045094,1204.0,1.0,0.43,C,5.0,0.0,32.0,57.0,B12,Regular,408.0,R41
46,4005990,1204.0,1.0,0.62,C,9.0,4.0,56.0,50.0,B12,Regular,187.0,R82
47,4045537,556.14,1.0,0.39,E,9.0,3.0,45.0,85.0,B6,Diesel,3385.0,R11
48,4047821,1204.0,1.0,0.81,D,5.0,3.0,28.0,100.0,B2,Regular,1313.0,R24
49,4079554,288.17,2.0,0.36,E,5.0,10.0,43.0,68.0,B3,Diesel,3599.0,R11
50,4079554,556.14,2.0,0.36,E,5.0,10.0,43.0,68.0,B3,Diesel,3599.0,R11
51,4014458,4868.88,1.0,0.01,C,4.0,3.0,60.0,68.0,B12,Regular,391.0,R31
52,4046150,822.73,2.0,0.69,E,5.0,0.0,77.0,50.0,B12,Regular,2054.0,R93
53,4046150,105.0,2.0,0.69,E,5.0,0.0,77.0,50.0,B12,Regular,2054.0,R93
54,4040097,5102.65,2.0,0.28,A,4.0,10.0,55.0,50.0,B6,Diesel,39.0,R82
55,4040097,1302.79,2.0,0.28,A,4.0,10.0,55.0,50.0,B6,Diesel,39.0,R82
56,4050049,1204.0,1.0,0.79,C,6.0,7.0,31.0,90.0,B2,Diesel,195.0,R82
57,4032500,1204.0,1.0,0.5,F,4.0,1.0,64.0,66.0,B12,Regular,27000.0,R11
58,4050682,602.0,1.0,0.67,C,8.0,0.0,63.0,50.0,B12,Diesel,335.0,R25
59,4027144,1204.0,1.0,0.45,D,6.0,2.0,65.0,50.0,B12,Diesel,1191.0,R11
60,4026476,1204.0,1.0,0.59,C,8.0,2.0,38.0,50.0,B12,Diesel,102.0,R93
61,1011592,1128.0,1.0,0.97,C,10.0,10.0,49.0,52.0,B12,Diesel,177.0,R93
62,4032652,643.0,1.0,0.5,B,7.0,1.0,29.0,80.0,B12,Diesel,82.0,R52
63,1012238,236.41,1.0,0.8,D,7.0,5.0,36.0,51.0,B12,Regular,534.0,R73
64,4072824,1204.0,1.0,0.38,B,8.0,2.0,44.0,80.0,B12,Regular,70.0,R26
65,1013017,4673.43,1.0,0.23,A,11.0,4.0,32.0,50.0,B12,Diesel,8.0,R94
66,4082304,775.22,2.0,0.79,E,7.0,1.0,52.0,50.0,B12,Regular,2498.0,R72
67,4082304,1204.0,2.0,0.79,E,7.0,1.0,52.0,50.0,B12,Regular,2498.0,R72
68,4071724,1204.0,1.0,0.12,C,6.0,8.0,37.0,85.0,B12,Regular,121.0,R93
69,4045181,1204.0,1.0,0.38,E,5.0,0.0,46.0,80.0,B12,Diesel,3430.0,R93
70,4044936,1204.0,1.0,0.89,E,8.0,0.0,73.0,50.0,B12,Regular,5936.0,R11
71,4073779,741.14,1.0,0.38,B,6.0,2.0,32.0,64.0,B1,Diesel,55.0,R22
72,4047026,602.0,1.0,0.6,E,4.0,1.0,24.0,100.0,B12,Diesel,3214.0,R83
73,4004932,556.14,2.0,0.53,A,12.0,1.0,56.0,50.0,B12,Diesel,8.0,R72
74,4004932,1204.0,2.0,0.53,A,12.0,1.0,56.0,50.0,B12,Diesel,8.0,R72
75,4030922,658.47,2.0,0.45,F,5.0,1.0,38.0,76.0,B12,Regular,15725.0,R11
76,4030922,1458.78,2.0,0.45,F,5.0,1.0,38.0,76.0,B12,Regular,15725.0,R11
77,4013329,1204.0,1.0,0.63,F,5.0,3.0,59.0,50.0,B12,Regular,27000.0,R11
78,4040912,1204.0,1.0,0.49,A,8.0,1.0,39.0,67.0,B12,Diesel,23.0,R73
79,4026938,465.61,1.0,0.45,C,5.0,2.0,66.0,50.0,B12,Regular,116.0,R82
80,4010875,115.76,1.0,0.71,D,5.0,10.0,43.0,60.0,B12,Diesel,711.0,R82
81,4007562,15139.64,1.0,0.41,B,5.0,6.0,75.0,50.0,B12,Regular,64.0,R72
82,4075024,602.0,1.0,0.78,A,11.0,2.0,42.0,50.0,B12,Diesel,16.0,R73
83,4034999,1153.88,1.0,0.59,D,10.0,2.0,58.0,50.0,B12,Regular,883.0,R93
84,1013126,1128.12,1.0,0.63,F,4.0,0.0,24.0,72.0,B12,Regular,27000.0,R11
85,4074647,1204.0,1.0,0.78,E,5.0,10.0,24.0,76.0,B3,Regular,3200.0,R31
86,4003515,1204.0,1.0,0.09,A,7.0,1.0,66.0,50.0,B12,Diesel,5.0,R74
87,4053416,1204.0,1.0,0.16,D,7.0,10.0,49.0,50.0,B12,Regular,824.0,R91
88,1011448,1128.12,1.0,0.95,C,5.0,2.0,41.0,50.0,B12,Regular,127.0,R93
89,4054864,82.05,1.0,0.11,F,7.0,10.0,35.0,63.0,B12,Regular,27000.0,R11
90,4041620,1204.0,1.0,0.76,B,7.0,10.0,60.0,50.0,B1,Diesel,59.0,R53
91,4082274,1204.0,1.0,0.79,D,4.0,2.0,52.0,76.0,B12,Diesel,824.0,R91
92,4047719,1204.0,1.0,0.83,F,8.0,0.0,47.0,50.0,B12,Regular,27000.0,R11
93,4071397,1874.0,1.0,0.36,D,4.0,2.0,50.0,76.0,B12,Diesel,609.0,R93
94,4040034,750.0,1.0,0.81,D,10.0,2.0,64.0,50.0,B12,Regular,675.0,R91
95,4051409,1204.0,1.0,0.69,E,7.0,0.0,48.0,50.0,B12,Diesel,3339.0,R11
96,4033751,1204.0,1.0,0.54,C,6.0,15.0,53.0,60.0,B12,Regular,116.0,R83
97,4055372,17616.93,2.0,0.09,E,7.0,0.0,28.0,76.0,B12,Diesel,3963.0,R91
98,4055372,1204.0,2.0,0.09,E,7.0,0.0,28.0,76.0,B12,Diesel,3963.0,R91
99,4040803,1204.0,1.0,0.85,E,8.0,1.0,43.0,50.0,B12,Diesel,3744.0,R93
100,4041962,1204.0,1.0,0.9,C,8.0,1.0,65.0,50.0,B11,Diesel,219.0,R11
101,4045538,556.14,1.0,0.39,E,10.0,5.0,45.0,85.0,B5,Diesel,3385.0,R11
102,4014293,405.29,1.0,0.45,A,4.0,4.0,24.0,90.0,B12,Regular,29.0,R91
103,4072103,1204.0,1.0,0.58,A,5.0,2.0,64.0,50.0,B12,Regular,18.0,R93
104,4045936,747.0,1.0,0.68,E,6.0,10.0,45.0,50.0,B5,Regular,3019.0,R73
105,4029468,5714.17,2.0,0.39,E,4.0,1.0,24.0,100.0,B12,Regular,5360.0,R11
106,4029468,1670.0,2.0,0.39,E,4.0,1.0,24.0,100.0,B12,Regular,5360.0,R11
107,4042992,2735.14,1.0,0.45,D,6.0,1.0,48.0,64.0,B12,Regular,1368.0,R11
108,4080591,602.0,1.0,0.87,E,4.0,5.0,43.0,57.0,B12,Regular,3946.0,R82
109,4041886,1204.0,2.0,0.84,A,8.0,1.0,62.0,50.0,B12,Diesel,22.0,R91
110,1012045,1128.0,1.0,0.77,C,11.0,4.0,58.0,50.0,B12,Regular,309.0,R72
111,4045366,695.18,2.0,0.83,F,8.0,1.0,42.0,50.0,B12,Regular,10477.0,R11
112,4045366,1276.52,2.0,0.83,F,8.0,1.0,42.0,50.0,B12,Regular,10477.0,R11
113,4081816,602.0,1.0,0.87,E,12.0,1.0,49.0,50.0,B12,Diesel,4220.0,R11
114,4007322,99.72,1.0,0.78,C,6.0,8.0,40.0,58.0,B12,Diesel,182.0,R91
115,1005527,80.45,1.0,0.45,E,5.0,1.0,74.0,50.0,B12,Regular,3744.0,R93
116,4012757,788.07,1.0,0.71,B,6.0,3.0,74.0,50.0,B12,Regular,75.0,R72
117,4077549,262.05,1.0,0.95,E,6.0,10.0,69.0,50.0,B12,Regular,5376.0,R11
118,4031845,556.14,2.0,0.48,C,8.0,1.0,34.0,71.0,B12,Diesel,162.0,R93
119,4031845,1320.0,2.0,0.48,C,8.0,1.0,34.0,71.0,B12,Diesel,162.0,R93
120,4080469,97.5,1.0,0.02,A,12.0,10.0,33.0,57.0,B12,Diesel,34.0,R73
121,4005526,1204.0,1.0,0.53,E,5.0,4.0,38.0,50.0,B12,Regular,5410.0,R11
122,4040157,677.51,2.0,0.53,F,10.0,2.0,39.0,95.0,B12,Regular,27000.0,R11
123,1008456,1128.12,1.0,0.69,C,6.0,7.0,50.0,75.0,B1,Regular,317.0,R11
124,4050789,1204.0,1.0,0.77,D,4.0,1.0,42.0,50.0,B12,Diesel,879.0,R82
125,4048201,4301.07,1.0,0.47,A,6.0,10.0,50.0,50.0,B13,Diesel,21.0,R52
126,4081492,1204.0,1.0,0.12,E,4.0,1.0,32.0,72.0,B12,Diesel,2446.0,R93
127,4016233,602.0,1.0,0.53,C,11.0,10.0,47.0,72.0,B10,Regular,388.0,R93
128,4071527,602.0,1.0,0.62,C,5.0,9.0,44.0,78.0,B5,Diesel,133.0,R82
129,4045725,747.0,1.0,0.94,A,5.0,15.0,27.0,68.0,B2,Regular,20.0,R24
130,4047920,1204.0,1.0,0.27,C,6.0,10.0,48.0,50.0,B1,Diesel,411.0,R11
131,4003381,1204.0,1.0,0.36,B,4.0,4.0,74.0,50.0,B12,Regular,60.0,R72
132,4039077,1204.0,1.0,0.41,B,4.0,15.0,54.0,89.0,B4,Regular,93.0,R91
133,4071478,1204.0,1.0,0.62,E,7.0,10.0,44.0,50.0,B12,Regular,4128.0,R52
134,4047952,1198.07,2.0,0.65,D,6.0,9.0,25.0,72.0,B2,Diesel,645.0,R94
135,4036493,31430.49,2.0,0.67,C,7.0,1.0,36.0,50.0,B12,Diesel,145.0,R82
136,4032412,1204.0,1.0,0.5,E,4.0,1.0,30.0,80.0,B12,Diesel,6485.0,R11
137,4016505,235.88,1.0,0.61,E,4.0,3.0,25.0,72.0,B12,Regular,3301.0,R73
138,4047181,1204.0,1.0,0.8,D,10.0,0.0,51.0,50.0,B12,Regular,776.0,R93
139,4028135,1204.0,1.0,0.78,D,10.0,8.0,54.0,50.0,B3,Regular,1326.0,R93
140,4037719,1204.0,1.0,0.72,B,12.0,1.0,50.0,50.0,B12,Diesel,86.0,R11
141,4051789,1204.0,3.0,0.67,D,9.0,10.0,34.0,78.0,B13,Diesel,1090.0,R31
142,4048632,6805.57,1.0,0.71,D,7.0,6.0,23.0,85.0,B11,Diesel,1309.0,R72
143,4001936,73831.86,2.0,0.28,C,6.0,1.0,48.0,50.0,B12,Regular,175.0,R72
144,4001936,602.0,2.0,0.28,C,6.0,1.0,48.0,50.0,B12,Regular,175.0,R72
145,4083610,1204.0,1.0,0.79,D,8.0,1.0,46.0,50.0,B12,Diesel,748.0,R11
146,4054712,1204.0,1.0,0.13,D,8.0,0.0,24.0,72.0,B12,Diesel,923.0,R11
147,4047357,1204.0,1.0,0.81,A,4.0,0.0,37.0,50.0,B12,Diesel,27.0,R43
148,4037114,1204.0,1.0,0.69,F,11.0,1.0,42.0,72.0,B12,Diesel,10156.0,R11
149,4073760,1204.0,1.0,0.78,C,8.0,2.0,39.0,50.0,B12,Diesel,127.0,R72
150,4081019,556.14,1.0,0.87,B,7.0,1.0,39.0,51.0,B12,Diesel,78.0,R73
151,4027334,1204.0,1.0,0.54,C,4.0,2.0,61.0,50.0,B12,Regular,156.0,R72
152,4078697,1204.0,1.0,0.96,D,10.0,2.0,43.0,50.0,B12,Regular,1807.0,R11
153,4032351,1204.0,1.0,0.5,E,8.0,1.0,52.0,50.0,B12,Diesel,2715.0,R93
154,4072993,1204.0,1.0,0.7,C,7.0,6.0,55.0,50.0,B1,Regular,206.0,R91
155,4084554,1204.0,1.0,0.49,B,10.0,10.0,26.0,72.0,B12,Diesel,88.0,R83
156,4083145,1204.0,1.0,0.79,A,4.0,2.0,52.0,50.0,B12,Diesel,35.0,R82
157,4031879,1204.0,1.0,0.51,A,11.0,1.0,49.0,50.0,B12,Diesel,20.0,R83
158,4075978,252.45,1.0,0.62,E,7.0,2.0,58.0,50.0,B12,Regular,2472.0,R82
159,4046903,1284.81,1.0,0.9,E,5.0,0.0,25.0,80.0,B5,Diesel,2365.0,R31
160,4002501,271.94,1.0,0.71,D,7.0,4.0,55.0,50.0,B12,Diesel,1482.0,R82
161,4016840,1204.0,1.0,0.57,C,7.0,2.0,26.0,95.0,B12,Regular,411.0,R31
162,4070526,556.14,1.0,0.53,E,5.0,2.0,30.0,76.0,B12,Regular,3184.0,R11
163,4023587,1204.0,2.0,0.71,F,5.0,2.0,46.0,50.0,B2,Diesel,27000.0,R11
164,4079565,2838.07,1.0,0.62,D,4.0,5.0,27.0,100.0,B12,Regular,1541.0,R91
165,4075712,1204.0,1.0,0.52,C,4.0,2.0,35.0,60.0,B12,Diesel,149.0,R22
166,4049446,1204.0,1.0,0.51,C,10.0,1.0,56.0,50.0,B12,Diesel,312.0,R11
167,4042480,1204.0,1.0,0.93,C,4.0,1.0,34.0,100.0,B12,Regular,204.0,R91
168,4039674,1204.0,1.0,0.8,D,12.0,1.0,41.0,50.0,B12,Diesel,688.0,R11
169,4035465,1204.0,1.0,0.61,D,7.0,1.0,69.0,65.0,B12,Diesel,673.0,R22
170,4011408,1204.0,1.0,0.79,F,10.0,3.0,31.0,76.0,B12,Regular,27000.0,R11
171,4054698,1204.0,1.0,0.62,E,8.0,2.0,47.0,55.0,B12,Diesel,2580.0,R72
172,4012804,602.0,1.0,0.71,F,5.0,3.0,55.0,50.0,B12,Diesel,10156.0,R11
173,4075241,1204.0,1.0,0.87,C,4.0,2.0,81.0,51.0,B12,Regular,140.0,R54
174,4016245,556.14,2.0,0.13,D,7.0,3.0,32.0,64.0,B12,Diesel,1571.0,R31
175,4016245,540.0,2.0,0.13,D,7.0,3.0,32.0,64.0,B12,Diesel,1571.0,R31
176,4005257,1204.0,1.0,0.53,E,11.0,7.0,54.0,50.0,B10,Regular,2694.0,R54
177,4053251,2077.82,1.0,0.67,C,10.0,0.0,60.0,50.0,B12,Regular,458.0,R93
178,4001858,1048.98,2.0,0.79,B,4.0,4.0,51.0,52.0,B12,Regular,79.0,R91
179,4001858,1204.0,2.0,0.79,B,4.0,4.0,51.0,52.0,B12,Regular,79.0,R91
180,4083586,602.0,1.0,0.54,C,7.0,1.0,65.0,50.0,B12,Regular,346.0,R22
181,4008875,1204.0,1.0,0.95,E,5.0,4.0,57.0,50.0,B12,Diesel,3274.0,R11
182,4025543,959.53,2.0,0.63,D,4.0,2.0,41.0,63.0,B12,Diesel,1817.0,R21
183,4025543,602.0,2.0,0.63,D,4.0,2.0,41.0,63.0,B12,Diesel,1817.0,R21
184,4070358,1204.0,1.0,0.53,E,5.0,3.0,54.0,50.0,B2,Diesel,4617.0,R21
185,4080391,1204.0,1.0,0.87,D,4.0,1.0,38.0,80.0,B12,Diesel,721.0,R93
186,4027377,1204.0,1.0,0.54,B,8.0,2.0,57.0,50.0,B12,Diesel,75.0,R23
187,4037412,1204.0,1.0,0.71,C,4.0,15.0,53.0,51.0,B3,Diesel,262.0,R93
188,4081973,2018.44,1.0,0.79,E,12.0,1.0,62.0,50.0,B12,Diesel,6127.0,R11
189,4033416,1204.0,1.0,0.54,E,7.0,1.0,50.0,50.0,B12,Diesel,3963.0,R91
190,4018889,1204.0,1.0,0.64,E,7.0,3.0,38.0,50.0,B12,Diesel,5723.0,R82
191,1002484,14758.09,1.0,0.71,D,6.0,1.0,70.0,50.0,B12,Regular,1699.0,R91
192,4047174,82.05,2.0,0.58,E,5.0,10.0,57.0,100.0,B13,Diesel,4650.0,R11
193,4055082,1204.0,2.0,0.49,D,11.0,0.0,49.0,50.0,B12,Diesel,709.0,R93
194,1000981,1128.12,1.0,0.8,D,4.0,1.0,45.0,50.0,B12,Regular,1005.0,R93
195,4014282,556.14,2.0,0.1,A,4.0,3.0,60.0,50.0,B12,Regular,37.0,R52
196,4014282,1537.77,2.0,0.1,A,4.0,3.0,60.0,50.0,B12,Regular,37.0,R52
197,4069906,1204.0,1.0,0.53,A,5.0,2.0,50.0,50.0,B12,Regular,10.0,R83
198,4038839,602.0,1.0,0.73,E,11.0,4.0,43.0,50.0,B12,Diesel,2411.0,R11
199,4053627,1204.0,1.0,0.66,D,6.0,2.0,64.0,106.0,B12,Diesel,824.0,R91
200,4010201,603.7,1.0,0.87,D,7.0,10.0,53.0,68.0,B2,Regular,824.0,R91
201,4045868,16129.91,1.0,0.88,D,8.0,5.0,46.0,64.0,B5,Regular,1358.0,R11
202,4054991,1042.9,1.0,0.6,E,4.0,5.0,49.0,50.0,B1,Regular,2907.0,R11
203,4080675,602.0,1.0,0.78,D,5.0,7.0,26.0,95.0,B3,Diesel,1218.0,R23
204,1012767,1128.12,1.0,0.64,C,7.0,0.0,39.0,50.0,B12,Diesel,167.0,R11
205,4011573,2498.95,1.0,0.75,B,5.0,3.0,52.0,50.0,B1,Diesel,55.0,R72
206,4074006,746.65,1.0,0.87,C,6.0,15.0,45.0,80.0,B1,Diesel,254.0,R11
207,4076177,1002.0,1.0,0.51,D,7.0,10.0,29.0,85.0,B2,Diesel,1767.0,R31
208,4056100,6539.97,2.0,0.47,D,5.0,0.0,48.0,72.0,B12,Regular,721.0,R93
209,1008384,1128.12,1.0,0.7,A,7.0,1.0,58.0,50.0,B12,Diesel,10.0,R93
210,4056100,1204.0,2.0,0.47,D,5.0,0.0,48.0,72.0,B12,Regular,721.0,R93
211,4041563,556.14,1.0,0.56,C,7.0,1.0,24.0,100.0,B12,Regular,411.0,R31
212,4036173,1204.0,1.0,0.65,E,10.0,6.0,61.0,92.0,B13,Diesel,5033.0,R11
213,4017211,1204.0,1.0,0.7,C,4.0,3.0,57.0,80.0,B12,Regular,342.0,R93
214,4079790,1028.43,2.0,0.92,E,10.0,1.0,60.0,50.0,B12,Diesel,3963.0,R91
215,4079790,602.0,2.0,0.92,E,10.0,1.0,60.0,50.0,B12,Diesel,3963.0,R91
216,4012950,1204.0,1.0,0.71,E,6.0,1.0,37.0,80.0,B12,Diesel,4348.0,R72
217,4001814,89.7,1.0,0.54,B,7.0,4.0,29.0,72.0,B12,Regular,67.0,R91
218,4033529,1204.0,1.0,0.45,D,4.0,1.0,45.0,60.0,B12,Regular,1793.0,R73
219,4078660,1204.0,2.0,0.92,F,8.0,1.0,54.0,50.0,B12,Diesel,21410.0,R11
220,4070328,602.0,1.0,0.46,E,6.0,8.0,30.0,95.0,B12,Regular,2983.0,R31
221,4015141,1204.0,1.0,0.54,B,10.0,6.0,26.0,85.0,B12,Diesel,91.0,R22
222,4013072,602.0,1.0,0.71,D,5.0,3.0,56.0,50.0,B12,Regular,824.0,R91
223,4030710,5827.75,2.0,0.5,F,12.0,5.0,59.0,76.0,B12,Diesel,27000.0,R11
224,4030710,7492.43,2.0,0.5,F,12.0,5.0,59.0,76.0,B12,Diesel,27000.0,R11
225,4071744,1204.0,1.0,0.18,E,8.0,0.0,52.0,50.0,B12,Diesel,3317.0,R93
226,4040775,1204.0,1.0,0.84,E,5.0,1.0,50.0,50.0,B12,Regular,3663.0,R11
227,4008155,1320.0,1.0,0.55,D,4.0,4.0,44.0,50.0,B12,Regular,1700.0,R11
228,4047612,1887.78,1.0,0.88,D,4.0,2.0,24.0,80.0,B12,Diesel,876.0,R23
229,1011507,1128.12,1.0,0.99,A,5.0,0.0,28.0,80.0,B12,Regular,43.0,R91
230,4003322,602.0,1.0,0.63,F,7.0,1.0,49.0,50.0,B12,Regular,15703.0,R11
231,4024700,1882.51,2.0,0.71,B,6.0,7.0,44.0,50.0,B12,Diesel,88.0,R26
232,4024700,7920.0,2.0,0.71,B,6.0,7.0,44.0,50.0,B12,Diesel,88.0,R26
233,4073469,956.14,1.0,0.7,D,8.0,2.0,65.0,50.0,B12,Diesel,512.0,R11
234,4049882,388.4,1.0,0.79,D,7.0,10.0,25.0,80.0,B12,Regular,910.0,R31
235,4000007,556.14,2.0,0.96,E,10.0,4.0,65.0,76.0,B12,Regular,5433.0,R93
236,4000007,1204.0,2.0,0.96,E,10.0,4.0,65.0,76.0,B12,Regular,5433.0,R93
237,4077887,602.0,1.0,0.95,E,8.0,2.0,65.0,64.0,B12,Diesel,4087.0,R53
238,4034182,602.0,1.0,0.56,E,7.0,2.0,70.0,50.0,B12,Regular,4172.0,R82
239,4044981,1204.0,2.0,0.41,E,8.0,2.0,45.0,85.0,B6,Diesel,3385.0,R11
240,4077819,1204.0,1.0,0.59,D,8.0,3.0,41.0,50.0,B12,Diesel,1421.0,R11
241,4078904,1204.0,1.0,0.43,D,4.0,3.0,57.0,106.0,B12,Regular,1895.0,R43
242,3045425,1204.0,1.0,0.64,E,8.0,0.0,60.0,50.0,B12,Diesel,5831.0,R11
243,4010765,1204.0,1.0,0.87,D,9.0,3.0,39.0,50.0,B12,Regular,534.0,R73
244,4080319,916.14,1.0,0.58,A,10.0,1.0,80.0,50.0,B12,Regular,45.0,R54
245,4050259,1204.0,1.0,0.75,B,7.0,0.0,63.0,72.0,B12,Diesel,66.0,R93
246,4041656,1204.0,1.0,0.88,E,7.0,1.0,34.0,64.0,B12,Diesel,3834.0,R11
247,4006471,1204.0,1.0,0.7,E,7.0,4.0,81.0,50.0,B12,Regular,5332.0,R11
248,1011898,1128.12,1.0,0.91,D,6.0,0.0,50.0,50.0,B12,Diesel,1609.0,R11
249,4059223,5234.12,1.0,0.01,B,4.0,3.0,50.0,50.0,B2,Regular,94.0,R83
250,4073723,5632.81,1.0,0.78,A,5.0,2.0,50.0,90.0,B12,Diesel,17.0,R26
251,4027115,1204.0,1.0,0.54,F,5.0,2.0,53.0,80.0,B12,Regular,27000.0,R11
252,4028558,1204.0,1.0,0.63,E,12.0,1.0,57.0,56.0,B12,Diesel,2580.0,R72
253,4042701,3547.27,2.0,0.93,C,4.0,1.0,51.0,50.0,B12,Diesel,455.0,R91
254,4042701,1320.0,2.0,0.93,C,4.0,1.0,51.0,50.0,B12,Diesel,455.0,R91
255,4012232,746.65,1.0,0.28,F,10.0,10.0,43.0,81.0,B2,Regular,27000.0,R11
256,4027409,161.07,3.0,0.41,D,5.0,10.0,26.0,90.0,B3,Diesel,1289.0,R31
257,4027409,2423.58,3.0,0.41,D,5.0,10.0,26.0,90.0,B3,Diesel,1289.0,R31
258,4011494,7018.71,2.0,0.79,C,11.0,1.0,40.0,50.0,B12,Regular,342.0,R93
259,4011494,1204.0,2.0,0.79,C,11.0,1.0,40.0,50.0,B12,Regular,342.0,R93
260,4075865,1419.29,1.0,0.71,E,6.0,2.0,53.0,50.0,B3,Diesel,3173.0,R11
261,4018413,1204.0,1.0,0.78,F,4.0,3.0,36.0,90.0,B12,Regular,27000.0,R11
262,4073997,1204.0,1.0,0.69,B,7.0,2.0,49.0,50.0,B12,Diesel,65.0,R73
263,4077319,1204.0,1.0,0.69,D,10.0,10.0,24.0,106.0,B11,Regular,886.0,R54
264,4085358,7250.0,3.0,0.3,A,4.0,1.0,71.0,50.0,B12,Regular,42.0,R52
265,4085358,1204.0,3.0,0.3,A,4.0,1.0,71.0,50.0,B12,Regular,42.0,R52
266,4019521,1204.0,1.0,0.95,B,6.0,8.0,34.0,57.0,B12,Diesel,75.0,R22
267,4036399,1204.0,1.0,0.66,F,5.0,1.0,41.0,50.0,B10,Diesel,16533.0,R11
268,4054068,1204.0,1.0,0.56,F,10.0,0.0,52.0,50.0,B12,Regular,17140.0,R11
